division,position,menu_id,can_create,can_view,can_edit,can_delete,can_approve,can_reject,can_import,can_export
Finance,Manager,31,1,1,1,1,1,1,1,1
Finance,Manager,32,1,1,1,1,1,1,1,1
Finance,Manager,1,0,1,0,0,0,0,0,0
Finance,Manager,4,1,1,1,1,0,0,0,0
Finance,Manager,5,1,1,1,1,0,0,0,0
Finance,Manager,18,1,1,1,1,0,0,0,0
Finance,Manager,33,1,1,1,1,1,1,1,1
Finance,Staff,31,0,1,0,0,1,1,1,1
Finance,Staff,32,1,1,1,1,0,0,1,1
Finance,Staff,1,1,1,1,1,0,0,1,1
Finance,Staff,4,1,1,1,1,0,0,1,1
Finance,Staff,5,1,1,1,1,0,0,1,1
Finance,"Staff ",18,1,1,1,1,0,0,1,1
Finance,"Staff ",33,1,1,1,1,0,0,1,1
OPS,Manager,26,0,1,0,0,1,0,0,0
OPS,Manager,27,0,1,0,0,1,0,0,0
OPS,Manager,28,0,1,0,0,1,0,0,0
OPS,Manager,32,1,1,1,1,1,1,1,1
OPS,Staff,26,0,0,0,0,0,0,0,0
OPS,Staff,27,0,0,0,0,0,0,0,0
OPS,Staff,28,0,0,0,0,0,0,0,0
OPS,Staff,32,1,1,1,1,0,0,1,1
Sales,Manager,26,0,1,0,0,0,0,0,0
Sales,Manager,27,0,1,0,0,0,0,0,0
Sales,Manager,28,0,1,0,0,0,0,0,0
Sales,Manager,29,1,1,1,1,1,1,1,1
Sales,Manager,30,0,0,0,0,0,0,0,0
Sales,Manager,31,0,1,0,0,0,0,0,0
Sales,Manager,32,1,1,1,1,1,1,1,1
Sales,Staff,25,1,1,1,1,0,0,1,1
Sales,Staff,28,0,0,0,0,0,0,0,0
Sales,Staff,29,1,1,1,1,0,0,1,1
Sales,Staff,32,0,0,0,0,0,0,0,0
Customer Service,Manager,26,0,0,0,0,0,0,0,0
Customer Service,Manager,27,0,0,0,0,0,0,0,0
Customer Service,Manager,28,0,0,0,0,0,0,0,0
Customer Service,Manager,29,0,1,0,0,0,0,0,0
Customer Service,Manager,30,0,1,0,0,1,1,1,1
Customer Service,Manager,32,1,1,1,1,1,1,1,1
Customer Service,Staff,26,0,0,0,0,0,0,0,0
Customer Service,Staff,27,0,0,0,0,0,0,0,0
Customer Service,Staff,28,0,0,0,0,0,0,0,0
Customer Service,Staff,29,0,1,0,0,0,0,0,0
Customer Service,Staff,30,0,1,0,0,1,1,1,1
Customer Service,Staff,32,1,1,1,1,0,0,1,1
Key Account,Manager,26,0,0,0,0,0,0,0,0
Key Account,Manager,30,0,1,0,0,0,0,0,0
Key Account,Manager,33,1,1,1,1,1,1,1,1
Key Account,Staff,26,0,0,0,0,0,0,0,0
Key Account,Staff,30,1,1,1,1,0,0,1,1
Key Account,Staff,33,1,1,1,1,0,0,1,1
Director,Director,25,0,0,0,0,0,0,0,0
Director,Director,25,1,1,1,1,1,1,1,1
Director,Director,26,1,1,1,1,1,1,1,1
Director,Director,27,1,1,1,1,1,1,1,1
Director,Director,28,1,1,1,1,1,1,1,1
Director,Director,29,1,1,1,1,1,1,1,1
Director,Director,30,1,1,1,1,1,1,1,1
Director,Director,31,1,1,1,1,1,1,1,1
Director,Director,32,1,1,1,1,1,1,1,1
General Manager,General Manager,25,1,1,1,1,1,1,1,1
General Manager,General Manager,25,1,1,1,1,1,1,1,1
General Manager,General Manager,26,1,1,1,1,1,1,1,1
General Manager,General Manager,27,1,1,1,1,1,1,1,1
General Manager,General Manager,28,1,1,1,1,1,1,1,1
General Manager,General Manager,29,1,1,1,1,1,1,1,1
General Manager,General Manager,30,1,1,1,1,1,1,1,1
General Manager,General Manager,31,1,1,1,1,1,1,1,1
General Manager,General Manager,32,1,1,1,1,1,1,1,1
